year,province,category,value
2014,Riau,uc,0.002748627
2014,Riau,vulnerable,0.25602309542685653
2014,Sulawesi Barat,amc,0.45447069045231403
2014,Sulawesi Barat,mc,0.12099080224748911
2014,Sulawesi Barat,poor,0.11566404916993872
2014,Sulawesi Barat,uc,0.003240591
2014,Sulawesi Barat,vulnerable,0.30563386744650833
2014,Sulawesi Selatan,amc,0.3865928323405812
2014,Sulawesi Selatan,mc,0.26622011470944673
2014,Sulawesi Selatan,poor,0.097331029
2014,Sulawesi Selatan,uc,0.006177914
2014,Sulawesi Selatan,vulnerable,0.24367810980948074
2014,Sulawesi Tengah,amc,0.4655282340933747
2014,Sulawesi Tengah,mc,0.1293080559180605
2014,Sulawesi Tengah,poor,0.1244160097709997
2014,Sulawesi Tengah,uc,0.001794167
2014,Sulawesi Tengah,vulnerable,0.2789535330427257
2014,Sulawesi Tenggara,amc,0.39964476774055835
2014,Sulawesi Tenggara,mc,0.19937830302735884
2014,Sulawesi Tenggara,poor,0.11886040713004072
2014,Sulawesi Tenggara,uc,0.003269864
2014,Sulawesi Tenggara,vulnerable,0.27884665803791153
2014,Sulawesi Utara,amc,0.3881671353281753
2014,Sulawesi Utara,mc,0.2659317084701575
2014,Sulawesi Utara,poor,0.088600736
2014,Sulawesi Utara,uc,0.00646747
2014,Sulawesi Utara,vulnerable,0.2508329497201909
2014,Sumatera Barat,amc,0.5319819282248204
2014,Sumatera Barat,mc,0.12584796817476665
2014,Sumatera Barat,poor,0.068462072
2014,Sumatera Barat,uc,0.000957324
2014,Sumatera Barat,vulnerable,0.2727507070768847
2014,Sumatera Selatan,amc,0.43441720627588853
2014,Sumatera Selatan,mc,0.14546344621854704
2014,Sumatera Selatan,poor,0.13701142291405968
2014,Sumatera Selatan,uc,0.002502664
2014,Sumatera Selatan,vulnerable,0.2806052610894845
2014,Sumatera Utara,amc,0.5342866982130519
2014,Sumatera Utara,mc,0.11658265214112339
2014,Sumatera Utara,poor,0.089613967
2014,Sumatera Utara,uc,0.001167231
2014,Sumatera Utara,vulnerable,0.25834945174270946
2015,Aceh,amc,0.4136551906165959
2015,Aceh,mc,0.080524535
2015,Aceh,poor,0.17076729521292777
2015,Aceh,uc,0.00072607
2015,Aceh,vulnerable,0.33432690876883175
2015,Bali,amc,0.47995000734921206
2015,Bali,mc,0.29751683242202714
2015,Bali,poor,0.047430042
2015,Bali,uc,0.007437855
