year,category,currency,value
2024,vulnerable,usd ppp,6.0475000004999995
2024,amc,idr,874398
2024,amc,idr,2040262
2024,amc,usd ppp,6.0475000004999995
2024,amc,usd ppp,14.110833334499999
2024,mc,idr,2040262
2024,mc,idr,9909844
2024,mc,usd ppp,14.110833334499999
2024,mc,usd ppp,68.53833333899999
2024,uc,idr,9909844
2024,uc,idr,inf
2024,uc,usd ppp,68.53833333899999
2024,uc,usd ppp,inf
