year,province,category,value,,
2014,Sulawesi Selatan,uc,0.000206703,,
2014,Sulawesi Selatan,vulnerable,0.008153068,,
2014,Sulawesi Tengah,amc,0.005235996,,
2014,Sulawesi Tengah,mc,0.001454383,,
2014,Sulawesi Tengah,poor,0.00139936,,
2014,Sulawesi Tengah,uc,2.017976866347153e-05,,
2014,Sulawesi Tengah,vulnerable,0.00313751,,
2014,Sulawesi Tenggara,amc,0.003880794,,
2014,Sulawesi Tenggara,mc,0.001936085,,
2014,Sulawesi Tenggara,poor,0.001154207,,
2014,Sulawesi Tenggara,uc,3.175237239639112e-05,,
2014,Sulawesi Tenggara,vulnerable,0.002707771,,
2014,Sulawesi Utara,amc,0.003674992,,
2014,Sulawesi Utara,mc,0.002517722,,
2014,Sulawesi Utara,poor,0.000838832,,
2014,Sulawesi Utara,uc,6.123110797681084e-05,,
2014,Sulawesi Utara,vulnerable,0.002374774,,
2014,Sumatera Barat,amc,0.010857082185842925,,
2014,Sumatera Barat,mc,0.002568399,,
2014,Sumatera Barat,poor,0.001397225,,
2014,Sumatera Barat,uc,1.9537781839348057e-05,,
2014,Sumatera Barat,vulnerable,0.005566499,,
2014,Sumatera Selatan,amc,0.013688654573326537,,
2014,Sumatera Selatan,mc,0.00458361,,
2014,Sumatera Selatan,poor,0.004317283,,
2014,Sumatera Selatan,uc,7.885989711620427e-05,,
2014,Sumatera Selatan,vulnerable,0.008841981,,
2014,Sumatera Utara,amc,0.029174803159706632,,
2014,Sumatera Utara,mc,0.006366013,,
2014,Sumatera Utara,poor,0.004893384,,
2014,Sumatera Utara,uc,6.373683283767366e-05,,
2014,Sumatera Utara,vulnerable,0.014107209530427253,,
2014,Papua Barat Daya,amc,0.004068341,,
2014,Papua Barat Daya,mc,0.00171281,,
2014,Papua Barat Daya,poor,0.003339172,,
2014,Papua Barat Daya,uc,9.605496657070195e-06,,
2014,Papua Barat Daya,vulnerable,0.003143325,,
2014,Kalimantan Utara,amc,0.008547129,,
2014,Kalimantan Utara,mc,0.002699721,,
2014,Kalimantan Utara,poor,0.00097096,,
2014,Kalimantan Utara,uc,5.674081878221952e-05,,
2014,Kalimantan Utara,vulnerable,0.00347575,,
2014,Papua Pegunungan,amc,0.004068341,,
2014,Papua Pegunungan,mc,0.00171281,,
2014,Papua Pegunungan,poor,0.003339172,,
2014,Papua Pegunungan,uc,9.605496657070195e-06,,
2014,Papua Pegunungan,vulnerable,0.003143325,,
2014,Papua Selatan,amc,0.004068341,,
2014,Papua Selatan,mc,0.00171281,,
2014,Papua Selatan,poor,0.003339172,,
2014,Papua Selatan,uc,9.605496657070195e-06,,
2014,Papua Selatan,vulnerable,0.003143325,,
2014,Papua Tengah,amc,0.004068341,,
2014,Papua Tengah,mc,0.00171281,,
2014,Papua Tengah,poor,0.003339172,,
2014,Papua Tengah,uc,9.605496657070195e-06,,
2014,Papua Tengah,vulnerable,0.003143325,,
2015,Aceh,amc,0.008099786,,
2015,Aceh,mc,0.001576752,,
2015,Aceh,poor,0.003343796,,
2015,Aceh,uc,1.4217184293677945e-05,,
2015,Aceh,vulnerable,0.006546459,,
2015,Bali,amc,0.007814667,,
2015,Bali,mc,0.004844244,,
2015,Bali,poor,0.000772268,,
2015,Bali,uc,0.000121105,,
2015,Bali,vulnerable,0.002729968,,
