year,province,category,value
2014.0,Nusa Tenggara Timur,poor,0.1991973334943608
2014.0,Nusa Tenggara Timur,uc,0.0012368696205111427
2014.0,Nusa Tenggara Timur,vulnerable,0.36168024336551563
2014.0,Papua,amc,0.33148021808616757
2014.0,Papua,mc,0.13955634431594346
2014.0,Papua,poor,0.2720690070584973
2014.0,Papua,uc,0.0007826365322893516
2014.0,Papua,vulnerable,0.2561117940071022
2014.0,Papua Barat,amc,0.3645837958584929
2014.0,Papua Barat,mc,0.14548307466814583
2014.0,Papua Barat,poor,0.22399744063341726
2014.0,Papua Barat,uc,0.0059321408153813985
2014.0,Papua Barat,vulnerable,0.26000354802456255
2014.0,Riau,amc,0.4913351460384854
2014.0,Riau,mc,0.1700720570614058
2014.0,Riau,poor,0.07982107398500835
2014.0,Riau,uc,0.0027486274882439587
2014.0,Riau,vulnerable,0.25602309542685653
2014.0,Sulawesi Barat,amc,0.45447069045231403
2014.0,Sulawesi Barat,mc,0.12099080224748911
2014.0,Sulawesi Barat,poor,0.11566404916993872
2014.0,Sulawesi Barat,uc,0.0032405906837498564
2014.0,Sulawesi Barat,vulnerable,0.30563386744650833
2014.0,Sulawesi Selatan,amc,0.3865928323405812
2014.0,Sulawesi Selatan,mc,0.26622011470944673
2014.0,Sulawesi Selatan,poor,0.09733102916922622
2014.0,Sulawesi Selatan,uc,0.006177913971265077
2014.0,Sulawesi Selatan,vulnerable,0.24367810980948074
2014.0,Sulawesi Tengah,amc,0.4655282340933747
2014.0,Sulawesi Tengah,mc,0.1293080559180605
2014.0,Sulawesi Tengah,poor,0.1244160097709997
2014.0,Sulawesi Tengah,uc,0.0017941671748394163
2014.0,Sulawesi Tengah,vulnerable,0.2789535330427257
2014.0,Sulawesi Tenggara,amc,0.39964476774055835
2014.0,Sulawesi Tenggara,mc,0.19937830302735884
2014.0,Sulawesi Tenggara,poor,0.11886040713004072
2014.0,Sulawesi Tenggara,uc,0.0032698640641307263
2014.0,Sulawesi Tenggara,vulnerable,0.27884665803791153
2014.0,Sulawesi Utara,amc,0.3881671353281753
2014.0,Sulawesi Utara,mc,0.2659317084701575
2014.0,Sulawesi Utara,poor,0.08860073608013373
2014.0,Sulawesi Utara,uc,0.006467470401342682
2014.0,Sulawesi Utara,vulnerable,0.2508329497201909
2014.0,Sumatera Barat,amc,0.5319819282248204
2014.0,Sumatera Barat,mc,0.12584796817476665
2014.0,Sumatera Barat,poor,0.0684620723844807
2014.0,Sumatera Barat,uc,0.0009573241390477054
2014.0,Sumatera Barat,vulnerable,0.2727507070768847
2014.0,Sumatera Selatan,amc,0.43441720627588853
2014.0,Sumatera Selatan,mc,0.14546344621854704
2014.0,Sumatera Selatan,poor,0.13701142291405968
2014.0,Sumatera Selatan,uc,0.0025026635020201442
2014.0,Sumatera Selatan,vulnerable,0.2806052610894845
2014.0,Sumatera Utara,amc,0.5342866982130519
2014.0,Sumatera Utara,mc,0.11658265214112339
2014.0,Sumatera Utara,poor,0.08961396665274547
2014.0,Sumatera Utara,uc,0.0011672312503698248
2014.0,Sumatera Utara,vulnerable,0.25834945174270946
2015.0,Aceh,amc,0.4136551906165959
2015.0,Aceh,mc,0.08052453538184158
2015.0,Aceh,poor,0.17076729521292777
2015.0,Aceh,uc,0.0007260700198029806
2015.0,Aceh,vulnerable,0.33432690876883175
2015.0,Bali,amc,0.47995000734921206
2015.0,Bali,mc,0.29751683242202714
2015.0,Bali,poor,0.04743004213703426
2015.0,Bali,uc,0.007437854835549539
2015.0,Bali,vulnerable,0.16766526325617698
2015.0,Banten,amc,0.4996905246504746
2015.0,Banten,mc,0.2250490579669679
